dataset_id,l3_filename,LTER site,provided identifier,doi,body size,dispersal habit,mobility,trophic group,biome,organism_group,initial.year,study.length,n.years,n.plots,n.taxa,organism
gce-mollusc-compagnoni,L3-gce-mollusc-compagnoni.csv,GCE,"(Compiled from 14 different datasets,  see comment for query)",NA,0.02,need to look at taxa,mobile,consumers,marine,invertebrates,2000,14,14,43,11,mollusc
sev-plants-compagnoni,L3-sev-plants-compagnoni.csv,SEV,knb-lter-sev.278.245672,http://dx.doi.org/10.6073/pasta/f19a93a5c6879a9380c394dabbf2db3a,1,passive,sessile,primary producers,terrestrial,plants,2003,13,13,8,157,plants
jrn-plants-compagnoni,L3-jrn-plants-compagnoni.csv,JRN,knb-lter-jrn.210351002.75,http://dx.doi.org/10.6073/pasta/75f27f49b1ea89de027d69c8697658b9,1,passive,sessile,primary producers,terrestrial,plants,1915,24,18,10,113,plants
hays-plants-compagnoni,L3-hays-plants-compagnoni.csv,HAYS,NA,doi.org/10.1890/0012-9658(2007)88[2673:LMQFKP]2.0.CO;2,0.5,passive,sessile,primary producers,terrestrial,plants,1938,35,35,14,140,plants
sgs-plants-compagnoni,L3-sgs-plants-compagnoni.csv,SGS,knb-lter-sgs.527.1,dx.doi.org/10.6073/pasta/f8aa046f7bb6533bb2cb52a64cdfb996,1,passive,sessile,primary producers,terrestrial,plants,1995,14,14,6,58,plants
sev-arthropods-compagnoni,L3-sev-arthropods-compagnoni.csv,SEV,knb-lter-sev.29.175390,http://dx.doi.org/10.6073/pasta/9e7e6dc9c9d8f72e9e0bca07a1e76ccd,0.02,active,mobile,consumers,terrestrial,invertebrates,1992,13,13,10,316,arthropods
sev-grasshopper-compagnoni,L3-sev-grasshopper-compagnoni.csv,SEV,knb-lter-sev.106.214968,http://dx.doi.org/10.6073/pasta/c1d40e9d0ec610bb74d02741e9d22576,0.02,active,mobile,consumers,terrestrial,invertebrates,1992,22,22,10,54,grasshopper
sbc-fish-castorani,L3-sbc-fish-castorani.csv,SBC,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,0.5,active,mobile,consumers,marine,fish,2001,18,18,9,64,fish
sbc-mobileInverts-castorani,L3-sbc-mobileInverts-castorani.csv,SBC,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,0.05,active,mobile,consumers,marine,invertebrates,2001,18,18,9,34,mobileInverts
sbc-sessileInverts-castorani,L3-sbc-sessileInverts-castorani.csv,SBC,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,0.03,passive,sessile,consumers,marine,invertebrates,2001,18,18,9,71,sessileInverts
sbc-algae-castorani,L3-sbc-algae-castorani.csv,SBC,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,0.005,passive,sessile,primary producers,marine,algae,2001,18,18,9,59,algae
jrn-lizards-hope,L3-jrn-lizards-hope.csv,JRN,knb-lter-jrn.210007001.36,http://dx.doi.org/10.6073/pasta/ff37b4cace16a9943575f3fd7067064e,0.1,active,mobile,consumers,terrestrial,herps,1990,16,16,9,18,lizards
cdr-plantsABC-compagnoni,L3-cdr-plantsABC-compagnoni.csv,CDR,knb-lter-cdr.14.8,http://dx.doi.org/10.6073/pasta/93b27926879861815ebb021bfd6f14ae,0.8,passive,sessile,primary producers,terrestrial,plants,1982,23,23,18,128,plantsABC
cdr-plantsD-compagnoni,L3-cdr-plantsD-compagnoni.csv,CDR,knb-lter-cdr.14.8,http://dx.doi.org/10.6073/pasta/93b27926879861815ebb021bfd6f14ae,0.8,passive,sessile,primary producers,terrestrial,plants,1982,23,23,5,128,plantsD
