"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"SPATIAL_COORDINATE","location1",NA,"LAT","dec. degrees",-17.47913579
"SPATIAL_COORDINATE","location2",NA,"LAT","dec. degrees",-17.47354064
"SPATIAL_COORDINATE","location3",NA,"LAT","dec. degrees",-17.51234592
"SPATIAL_COORDINATE","location4",NA,"LAT","dec. degrees",-17.54184642
"SPATIAL_COORDINATE","location5",NA,"LAT","dec. degrees",-17.58000273
"SPATIAL_COORDINATE","location6",NA,"LAT","dec. degrees",-17.51787861
"SPATIAL_COORDINATE","location1",NA,"LONG","dec. degrees",-149.8377064
"SPATIAL_COORDINATE","location2",NA,"LONG","dec. degrees",-149.8039267
"SPATIAL_COORDINATE","location3",NA,"LONG","dec. degrees",-149.7614294
"SPATIAL_COORDINATE","location4",NA,"LONG","dec. degrees",-149.7669862
"SPATIAL_COORDINATE","location5",NA,"LONG","dec. degrees",-149.8715382
"SPATIAL_COORDINATE","location6",NA,"LONG","dec. degrees",-149.9230353
"TAXON_COUNT","location1",2006,"Acanthophora spicifera","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Actinotrichia fragilis","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Algal Turf","mean.percent.cover.per.0.25_m2",44.58
"TAXON_COUNT","location1",2006,"Amansia rhodantha","mean.percent.cover.per.0.25_m2",0.12
"TAXON_COUNT","location1",2006,"Amphiroa fragilissima","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Ascidian","mean.percent.cover.per.0.25_m2",0.02
"TAXON_COUNT","location1",2006,"Asparagopsis taxiformis","mean.percent.cover.per.0.25_m2",1.86
"TAXON_COUNT","location1",2006,"Boodlea kaeneana","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Caulerpa peltata","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Caulerpa pickeringii","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Caulerpa racemosa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Caulerpa serrulata","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Chaetomorpha antennina","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Chlorodesmis fastigiata","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Chnoospora implexa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Cladophoropsis luxurians","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Cladophoropsis membranacea","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Codium geppiorum","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Coelothrix irregularis","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Corallimorpharia","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Crustose Corallines","mean.percent.cover.per.0.25_m2",3.66
"TAXON_COUNT","location1",2006,"Cyanophyta","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Damselfish Turf","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dichotomaria marginata","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dichotomaria obtusata","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyosphaeria cavernosa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyosphaeria versluysii","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyota bartayresiana","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyota friabilis","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyota hamifera","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyota implexa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Dictyota sp.","mean.percent.cover.per.0.25_m2",0.18
"TAXON_COUNT","location1",2006,"Galaxaura filamentosa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Galaxaura rugosa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Galaxaura sp.","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Gelidiella acerosa","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Gelidiella sp.","mean.percent.cover.per.0.25_m2",0
