"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"SPATIAL_COORDINATE","location1",NA,"LAT","dec. degrees",-17.47913579
"SPATIAL_COORDINATE","location2",NA,"LAT","dec. degrees",-17.47354064
"SPATIAL_COORDINATE","location3",NA,"LAT","dec. degrees",-17.51234592
"SPATIAL_COORDINATE","location4",NA,"LAT","dec. degrees",-17.54184642
"SPATIAL_COORDINATE","location5",NA,"LAT","dec. degrees",-17.58000273
"SPATIAL_COORDINATE","location6",NA,"LAT","dec. degrees",-17.51787861
"SPATIAL_COORDINATE","location1",NA,"LONG","dec. degrees",-149.8377064
"SPATIAL_COORDINATE","location2",NA,"LONG","dec. degrees",-149.8039267
"SPATIAL_COORDINATE","location3",NA,"LONG","dec. degrees",-149.7614294
"SPATIAL_COORDINATE","location4",NA,"LONG","dec. degrees",-149.7669862
"SPATIAL_COORDINATE","location5",NA,"LONG","dec. degrees",-149.8715382
"SPATIAL_COORDINATE","location6",NA,"LONG","dec. degrees",-149.9230353
"TAXON_COUNT","location1",2005,"Acanthastrea","mean.percent.cover.per.0.25_m2",0.08
"TAXON_COUNT","location1",2005,"Acropora","mean.percent.cover.per.0.25_m2",9.17259523809524
"TAXON_COUNT","location1",2005,"Astrea","mean.percent.cover.per.0.25_m2",0.734444444444444
"TAXON_COUNT","location1",2005,"Astreopora","mean.percent.cover.per.0.25_m2",0.44
"TAXON_COUNT","location1",2005,"Cyphastrea","mean.percent.cover.per.0.25_m2",0.237777777777778
"TAXON_COUNT","location1",2005,"Danafungia","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Fungiidae unidentified","mean.percent.cover.per.0.25_m2",1.08666666666667
"TAXON_COUNT","location1",2005,"Gardineroseris","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Goniastrea","mean.percent.cover.per.0.25_m2",0.04
"TAXON_COUNT","location1",2005,"Herpolitha","mean.percent.cover.per.0.25_m2",0.473333333333333
"TAXON_COUNT","location1",2005,"Leptastrea","mean.percent.cover.per.0.25_m2",2.97
"TAXON_COUNT","location1",2005,"Leptoseris","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Lithophyllon","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Lobactis","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Lobophyllia","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Millepora","mean.percent.cover.per.0.25_m2",1.58
"TAXON_COUNT","location1",2005,"Montipora","mean.percent.cover.per.0.25_m2",1.68055555555556
"TAXON_COUNT","location1",2005,"Pachyseris","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Pavona","mean.percent.cover.per.0.25_m2",1.31155555555556
"TAXON_COUNT","location1",2005,"Plesiastrea","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Pleuractis","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Pocillopora","mean.percent.cover.per.0.25_m2",12.5117063492063
"TAXON_COUNT","location1",2005,"Porites","mean.percent.cover.per.0.25_m2",17.0249761904762
"TAXON_COUNT","location1",2005,"Porites irregularis","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Porites rus","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Porites spp. Massive","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Psammocora","mean.percent.cover.per.0.25_m2",0.61
"TAXON_COUNT","location1",2005,"Sandolitha","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Soft Coral","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Stylocoeniella","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2005,"Tubastrea","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Acanthastrea","mean.percent.cover.per.0.25_m2",0.24
"TAXON_COUNT","location1",2006,"Acropora","mean.percent.cover.per.0.25_m2",9.1256746031746
"TAXON_COUNT","location1",2006,"Astrea","mean.percent.cover.per.0.25_m2",0.938
"TAXON_COUNT","location1",2006,"Astreopora","mean.percent.cover.per.0.25_m2",0.446666666666667
"TAXON_COUNT","location1",2006,"Cyphastrea","mean.percent.cover.per.0.25_m2",0.18
"TAXON_COUNT","location1",2006,"Danafungia","mean.percent.cover.per.0.25_m2",0
"TAXON_COUNT","location1",2006,"Fungiidae unidentified","mean.percent.cover.per.0.25_m2",0.886666666666667
