dataset_file_name,dataset_google_id,start_year,end_year,n_years_observed,study_duration,organism_count_type,variability_type,standardization_method,metric,metric_value
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,divpart_time_series,q_order_0,alpha_div_mean,139.28125
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,divpart_time_series,q_order_0,alpha_div_cv,0.041181145028713756
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,divpart_time_series,q_order_0,beta_div_mean,1.566675489745264
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,divpart_time_series,q_order_0,beta_div_cv,0.028860986991825772
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,divpart_time_series,q_order_0,gamma_div_mean,218.0625
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,divpart_time_series,q_order_0,gamma_div_cv,0.033173471585161936
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,agg,NA,gamma_var,0.07331726468051815
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,agg,NA,alpha_var,0.18951682549517254
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,agg,NA,phi_var,0.386864145117214
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,agg,NA,gamma_var_rate,0.004887817645367876
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,agg,NA,alpha_var_rate,0.012634455033011503
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,com,h,gamma_var,0.19615596467654395
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,com,h,alpha_var,0.36874395312360764
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,com,h,phi_var,0.5319571019807069
L3-mcr-fish-castorani.csv,1uhRqlcSGzmi3OngrpErqUpkK8FtMlh7s,2006,2021,16,15,mean.biomass.per.250_m2,com,h,gamma_var_rate,0.013077064311769597
