dataset_file_name,start_year,end_year,n_years_observed,study_duration,scale,organism_count_type,SITE_ID,variability_type,metric_type,metric,metric_value
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA002,comp,BD_h,BD,0.3438023123506896
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA003,comp,BD_h,BD,0.34558644158818697
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA004,comp,BD_h,BD,0.3874416414235991
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA005,comp,BD_h,BD,0.34560618057518994
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA006,comp,BD_h,BD,0.3289473540800407
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA009,comp,BD_h,BD,0.3860383906372217
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA010,comp,BD_h,BD,0.3287051984909145
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA011,comp,BD_h,BD,0.4226687866786954
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA012,comp,BD_h,BD,0.46460296302383824
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA013,comp,BD_h,BD,0.3906126080874043
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA016,comp,BD_h,BD,0.3858862139206852
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA017,comp,BD_h,BD,0.43367296675383743
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA018,comp,BD_h,BD,0.2935141209075088
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA019,comp,BD_h,BD,0.33261544133029247
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA020,comp,BD_h,BD,0.4053254560415775
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA021,comp,BD_h,BD,0.41001025329941265
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA023,comp,BD_h,BD,0.3075157437092782
L3-and-birds-wisnoski.csv,2009,2013,5,4,local,count,PA027,comp,BD_h,BD,0.31734292304292855
