dataset_file_name,start_year,end_year,n_years_observed,study_duration,organism_count_type,variability_type,standardization_method,metric,metric_value
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,divpart_time_series,q_order_2,alpha_div_mean,9.746681850369406
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,divpart_time_series,q_order_2,alpha_div_cv,0.11312474544361847
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,divpart_time_series,q_order_2,beta_div_mean,1.9488034976770996
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,divpart_time_series,q_order_2,beta_div_cv,0.04871476619022914
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,divpart_time_series,q_order_2,gamma_div_mean,18.931649138080772
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,divpart_time_series,q_order_2,gamma_div_cv,0.08454613755208625
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,agg,NA,gamma_var,0.016797280520625655
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,agg,NA,alpha_var,0.04911594785234959
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,agg,NA,phi_var,0.34199239259559794
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,agg,NA,gamma_var_rate,0.004199320130156414
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,agg,NA,alpha_var_rate,0.012278986963087397
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,com,h,gamma_var,0.035378781069848986
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,com,h,alpha_var,0.38335579629331507
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,com,h,phi_var,0.09228706442403652
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,com,h,gamma_var_rate,0.008844695267462246
L3-and-birds-wisnoski.csv,2009,2013,5,4,count,com,h,alpha_var_rate,0.09583894907332877
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,divpart_time_series,q_order_2,alpha_div_mean,6.881784425283998
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,divpart_time_series,q_order_2,alpha_div_cv,0.36143247650571647
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,divpart_time_series,q_order_2,beta_div_mean,1.1781400018477501
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,divpart_time_series,q_order_2,beta_div_cv,0.24067426368972913
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,divpart_time_series,q_order_2,gamma_div_mean,8.489298062490407
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,divpart_time_series,q_order_2,gamma_div_cv,0.4516334816282442
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,agg,NA,gamma_var,0.8994642903095809
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,agg,NA,alpha_var,0.9793335442439814
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,agg,NA,phi_var,0.9184452994550928
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,agg,NA,gamma_var_rate,0.044973214515479046
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,agg,NA,alpha_var_rate,0.04896667721219907
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,com,h,gamma_var,0.206861351595028
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,com,h,alpha_var,0.34347311402704866
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,com,h,phi_var,0.6022635925405724
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,com,h,gamma_var_rate,0.0103430675797514
L3-and-plants-mtStHelens.csv,1989,2009,21,20,PERCENT_COVER,com,h,alpha_var_rate,0.017173655701352434
L3-bes-birds-nilon.csv,2005,2009,5,4,count,divpart_time_series,q_order_2,alpha_div_mean,1.7974156754260748
L3-bes-birds-nilon.csv,2005,2009,5,4,count,divpart_time_series,q_order_2,alpha_div_cv,0.14190337560620098
L3-bes-birds-nilon.csv,2005,2009,5,4,count,divpart_time_series,q_order_2,beta_div_mean,2.3040042153012013
L3-bes-birds-nilon.csv,2005,2009,5,4,count,divpart_time_series,q_order_2,beta_div_cv,0.0735890719236777
L3-bes-birds-nilon.csv,2005,2009,5,4,count,divpart_time_series,q_order_2,gamma_div_mean,4.113372343970286
L3-bes-birds-nilon.csv,2005,2009,5,4,count,divpart_time_series,q_order_2,gamma_div_cv,0.08846134797217685
L3-bes-birds-nilon.csv,2005,2009,5,4,count,agg,NA,gamma_var,0.03172328681464544
L3-bes-birds-nilon.csv,2005,2009,5,4,count,agg,NA,alpha_var,0.44654728215994566
L3-bes-birds-nilon.csv,2005,2009,5,4,count,agg,NA,phi_var,0.07104127173543673
L3-bes-birds-nilon.csv,2005,2009,5,4,count,agg,NA,gamma_var_rate,0.00793082170366136
L3-bes-birds-nilon.csv,2005,2009,5,4,count,agg,NA,alpha_var_rate,0.11163682053998641
L3-bes-birds-nilon.csv,2005,2009,5,4,count,com,h,gamma_var,0.03355614178018998
L3-bes-birds-nilon.csv,2005,2009,5,4,count,com,h,alpha_var,0.39339394178046927
L3-bes-birds-nilon.csv,2005,2009,5,4,count,com,h,phi_var,0.08529908119153433
L3-bes-birds-nilon.csv,2005,2009,5,4,count,com,h,gamma_var_rate,0.008389035445047495
L3-bes-birds-nilon.csv,2005,2009,5,4,count,com,h,alpha_var_rate,0.09834848544511732
L3-cap-birds-banville.csv,2001,2016,16,15,count,divpart_time_series,q_order_2,alpha_div_mean,5.598411940974027
L3-cap-birds-banville.csv,2001,2016,16,15,count,divpart_time_series,q_order_2,alpha_div_cv,0.09756461904918907
L3-cap-birds-banville.csv,2001,2016,16,15,count,divpart_time_series,q_order_2,beta_div_mean,2.1753767074616897
L3-cap-birds-banville.csv,2001,2016,16,15,count,divpart_time_series,q_order_2,beta_div_cv,0.21015420757239398
L3-cap-birds-banville.csv,2001,2016,16,15,count,divpart_time_series,q_order_2,gamma_div_mean,12.14784997548613
L3-cap-birds-banville.csv,2001,2016,16,15,count,divpart_time_series,q_order_2,gamma_div_cv,0.2262420573554333
L3-cap-birds-banville.csv,2001,2016,16,15,count,agg,NA,gamma_var,0.12920194672823007
L3-cap-birds-banville.csv,2001,2016,16,15,count,agg,NA,alpha_var,0.34938680373926817
L3-cap-birds-banville.csv,2001,2016,16,15,count,agg,NA,phi_var,0.3697962983875251
L3-cap-birds-banville.csv,2001,2016,16,15,count,agg,NA,gamma_var_rate,0.008613463115215337
L3-cap-birds-banville.csv,2001,2016,16,15,count,agg,NA,alpha_var_rate,0.02329245358261788
L3-cap-birds-banville.csv,2001,2016,16,15,count,com,h,gamma_var,0.09055802356254272
L3-cap-birds-banville.csv,2001,2016,16,15,count,com,h,alpha_var,0.3629583721808287
L3-cap-birds-banville.csv,2001,2016,16,15,count,com,h,phi_var,0.249499751220578
L3-cap-birds-banville.csv,2001,2016,16,15,count,com,h,gamma_var_rate,0.006037201570836181
L3-cap-birds-banville.csv,2001,2016,16,15,count,com,h,alpha_var_rate,0.02419722481205525
L3-cap-herps-banville.csv,2013,2017,5,4,count,divpart_time_series,q_order_2,alpha_div_mean,2.0478523005222966
L3-cap-herps-banville.csv,2013,2017,5,4,count,divpart_time_series,q_order_2,alpha_div_cv,0.05482278056495158
L3-cap-herps-banville.csv,2013,2017,5,4,count,divpart_time_series,q_order_2,beta_div_mean,1.1022739609132977
L3-cap-herps-banville.csv,2013,2017,5,4,count,divpart_time_series,q_order_2,beta_div_cv,0.09254988631914318
L3-cap-herps-banville.csv,2013,2017,5,4,count,divpart_time_series,q_order_2,gamma_div_mean,2.2546510846827004
L3-cap-herps-banville.csv,2013,2017,5,4,count,divpart_time_series,q_order_2,gamma_div_cv,0.09113029921286386
L3-cap-herps-banville.csv,2013,2017,5,4,count,agg,NA,gamma_var,0.13878224961647875
L3-cap-herps-banville.csv,2013,2017,5,4,count,agg,NA,alpha_var,0.18215055165777327
L3-cap-herps-banville.csv,2013,2017,5,4,count,agg,NA,phi_var,0.7619095761907138
L3-cap-herps-banville.csv,2013,2017,5,4,count,agg,NA,gamma_var_rate,0.03469556240411969
L3-cap-herps-banville.csv,2013,2017,5,4,count,agg,NA,alpha_var_rate,0.04553763791444332
L3-cap-herps-banville.csv,2013,2017,5,4,count,com,h,gamma_var,0.04869351406778538
