"dataset","initial.year","study.length","n.years","n.plots","n.taxa","organism"
"and-birds-wisnoski",2009,5,5,184,81,"birds"
"and-plants-mtStHelens",1989,21,21,12,85,"plants"
"bes-birds-nilon",2005,5,5,52,33,"birds"
"cap-birds-banville",2001,16,16,35,104,"birds"
"cap-herps-banville",2013,5,5,7,18,"herps"
"cdr-grasshopper-compagnoni",1989,18,18,19,50,"grasshopper"
"cdr-plantsABC-compagnoni",1982,23,23,18,128,"plantsABC"
"cdr-plantsD-compagnoni",1982,23,23,5,128,"plantsD"
"fce-diatoms-catano",2005,7,7,30,192,"diatoms"
"fce-fish-rehageDry",2006,12,11,10,56,"fish"
"fce-fish-rehageWet",2011,6,6,14,56,"fish"
"gce-mollusc-compagnoni",2000,14,14,18,9,"mollusc"
"hays-plants-compagnoni",38,35,35,14,140,"plants"
"jrn-lizards-hope",1990,16,16,9,18,"lizards"
"jrn-plants-compagnoni",1915,24,18,10,113,"plants"
"knz-grasshopper-compagnoni",1996,20,19,13,43,"grasshopper"
"luq-snails-compagnoni",1991,27,27,40,19,"snails"
"mcr-algae-castorani",2006,10,10,6,73,"algae"
"mcr-coral-castorani",2005,13,13,6,31,"coral"
"mcr-inverts-castorani",2005,17,17,6,17,"inverts"
"sbc-algae-castorani",2001,18,18,9,59,"algae"
"sbc-fish-castorani",2001,18,18,9,64,"fish"
"sbc-mobileInverts-castorani",2001,18,18,9,34,"mobileInverts"
"sbc-sessileInverts-castorani",2001,18,18,9,71,"sessileInverts"
"sev-arthropods-compagnoni",1992,13,13,10,316,"arthropods"
"sev-grasshopper-compagnoni",1992,22,22,10,54,"grasshopper"
"sev-plants-compagnoni",2003,13,13,8,157,"plants"
"sgs-plants-catano",1999,8,8,6,84,"plants"
"sgs-plants-compagnoni",1995,14,14,6,58,"plants"
